customer_id,Name,Gender,Job_industry_category,owns_car,area_id,State
1,Laraine Medendorp,Female,Health,Yes,1,NSW
2,Eli Bockman,Male,Financial Services,Yes,1,NSW
4,Arlin Dearle,Male,Property,Yes,2,QLD
5,Talbot ,Male,IT,No,1,NSW
6,Sheila-kathryn Calton,Female,n/a,Yes,3,VIC
7,Curr Duckhouse,Male,Retail,Yes,1,NSW
8,Fina Merali,Female,Financial Services,Yes,1,NSW
9,Rod Inder,Male,n/a,No,1,NSW
11,Mala Lind,Female,Argiculture,Yes,3,VIC
12,Fiorenze Birdall,Female,Financial Services,Yes,2,QLD
13,Uriah Bisatt,Male,Property,No,3,VIC
14,Sawyere Flattman,Male,Manufacturing,No,1,NSW
15,Gabriele Norcross,Male,Financial Services,Yes,1,NSW
16,Rayshell Kitteman,Female,Financial Services,No,3,VIC
17,Erroll Radage,Male,Manufacturing,No,3,VIC
18,Harlin Parr,Male,n/a,Yes,1,NSW
19,Heath Faraday,Male,n/a,Yes,1,NSW
20,Marjie Neasham,Female,n/a,No,1,NSW
21,Sorcha Keyson,Female,Manufacturing,No,1,NSW
24,Basile Firth,Male,Manufacturing,No,1,NSW
25,Mile Cammocke,Male,Manufacturing,Yes,2,QLD
26,Deeanne Durtnell,Female,IT,No,2,QLD
27,Olav Polak,Male,n/a,Yes,3,VIC
28,Kim Skpsey,Female,Argiculture,Yes,2,QLD
29,Geoff Assaf,Male,Financial Services,Yes,2,QLD
30,Trixi Ginnelly,Female,Financial Services,Yes,1,NSW
31,Garvin Klees,Male,Health,Yes,1,NSW
32,Fee Zellmer,Male,Health,Yes,1,NSW
33,Mona Sancraft,Female,Manufacturing,No,1,NSW
34,Darrick Helleckas,Male,IT,Yes,2,QLD
35,Star Praton,Female,Telecommunications,Yes,2,QLD
36,Marion Vanichkin,Female,Manufacturing,No,1,NSW
37,Ernst Hacon,Male,n/a,Yes,2,QLD
38,Jephthah Bachmann,Male,IT,No,2,QLD
39,Margaretha Strettle,Female,Health,Yes,1,NSW
40,Lurette Stonnell,Female,n/a,No,1,NSW
41,Laurie Dwerryhouse,Female,Health,No,3,VIC
42,Cordi Merman,Female,Financial Services,No,3,VIC
43,Hunfredo Smalley,Male,Entertainment,No,2,QLD
44,Tomasine Jerche,Female,Manufacturing,No,2,QLD
45,Basilius Coupe,Male,Health,No,1,NSW
46,Chiquita Durnall,Female,Manufacturing,No,3,VIC
47,Indira Belt,Female,Retail,No,1,NSW
48,Neron Verick,Male,Entertainment,Yes,3,VIC
49,Trace Woodhead,Male,Financial Services,No,1,NSW
50,Kaila Allin,Female,n/a,Yes,1,NSW
51,Matthew Jeaycock,Male,Health,No,2,QLD
52,Rebbecca Casone,Female,n/a,Yes,1,NSW
53,Nolly Ownsworth,Male,n/a,No,2,QLD
54,Whitby Schapero,Male,Manufacturing,Yes,1,NSW
55,Fidelio Dilke,Male,Retail,No,1,NSW
56,Curran Bentson,Male,Financial Services,Yes,1,NSW
57,Agnella Gocke,Female,Financial Services,No,2,QLD
58,Loralyn Wonfor,Female,Property,Yes,1,NSW
59,Linc Jillions,Male,Financial Services,Yes,1,NSW
60,Reese Ensor,Male,Property,Yes,1,NSW
61,Abba Masedon,Male,n/a,Yes,1,NSW
62,Dalenna Pinnock,Female,Financial Services,Yes,1,NSW
63,Niki Heathcote,Male,n/a,No,1,NSW
64,Nadiya Champerlen,Female,Manufacturing,No,3,VIC
65,Kacey Rowbottom,Female,Property,No,1,NSW
66,Sorcha Roggers,Female,IT,Yes,1,NSW
67,Ebony Zini,Female,Retail,Yes,1,NSW
68,Gerek Yve,Male,IT,No,3,VIC
69,Yale Tanser,Male,Financial Services,Yes,3,VIC
70,Anselm Gawne,Male,Argiculture,No,1,NSW
71,Vernon ,Male,Retail,No,1,NSW
72,Dahlia Eddoes,Female,n/a,No,2,QLD
73,Heidi Milner,Female,n/a,No,1,NSW
74,Foster Vannoort,Male,Financial Services,No,2,QLD
75,Hoyt Glavias,Male,Argiculture,Yes,1,NSW
76,Sammy Cheese,Male,Manufacturing,Yes,2,QLD
77,Minette Worters,Female,n/a,Yes,2,QLD
78,Pansy Kiddie,Female,n/a,Yes,1,NSW
79,Dollie Sealy,Female,Property,No,1,NSW
80,Rea Hasser,Female,Retail,Yes,3,VIC
81,Shermie Andrin,Male,Financial Services,No,1,NSW
82,Arch Van der Kruis,Male,Argiculture,No,3,VIC
83,Tybi Silliman,Female,Manufacturing,No,1,NSW
84,Pablo Small,Male,Entertainment,No,1,NSW
85,Bee Blazewicz,Female,Health,No,1,NSW
86,Gleda Cokely,Female,Property,No,1,NSW
87,Kerr Simmell,Male,IT,Yes,1,NSW
88,Rich Mathiasen,Male,n/a,Yes,1,NSW
89,Kane Tixall,Male,n/a,No,1,NSW
90,Job Sleney,Male,Health,Yes,1,NSW
91,Fields Langdon,Male,Financial Services,No,1,NSW
92,Malynda Tumber,Female,Property,Yes,3,VIC
93,Benedicto Hoxey,Male,Health,Yes,3,VIC
94,Cary Garron,Male,Manufacturing,No,1,NSW
95,Dylan Meaker,Male,Financial Services,Yes,3,VIC
96,Jodee Judkins,Female,Health,No,1,NSW
97,Gordon Gowar,Male,Retail,Yes,1,NSW
98,Wallache Simchenko,Male,Manufacturing,No,1,NSW
99,Nomi Mallinder,Female,Manufacturing,Yes,1,NSW
100,Heath Olford,Male,Manufacturing,No,1,NSW
101,Arne Corain,Male,Financial Services,Yes,1,NSW
102,Allianora Babalola,Female,Health,No,1,NSW
103,Reggie Mulliner,Male,Financial Services,No,1,NSW
104,Tripp Steed,Male,Financial Services,Yes,2,QLD
105,Goran Kwietek,Male,Manufacturing,No,1,NSW
106,Langsdon Tranfield,Male,Manufacturing,No,1,NSW
107,Ethyl Runham,Female,Financial Services,Yes,1,NSW
108,Odille Panketh,Female,Health,Yes,1,NSW
109,Maribeth Pristnor,Female,Manufacturing,No,1,NSW
110,Glyn ,Male,Health,Yes,3,VIC
111,Pris Stallebrass,Female,Financial Services,Yes,1,NSW
112,Kayle Mingaud,Female,n/a,No,3,VIC
113,Cody Blabey,Male,n/a,Yes,2,QLD
114,Sascha St. Quintin,Male,Financial Services,No,1,NSW
115,Cele Evason,Female,n/a,No,3,VIC
116,Shena Parren,Female,Retail,No,1,NSW
117,Gage Nickless,Male,n/a,No,2,QLD
118,Sunny Swindells,Female,Entertainment,No,3,VIC
119,Alberik Mereweather,Male,Health,No,3,VIC
120,Scottie Swiffen,Male,Manufacturing,Yes,1,NSW
121,Nance Suttling,Female,Manufacturing,No,1,NSW
122,Prentice Pearmain,Male,n/a,No,2,QLD
123,Willey Chastanet,Male,n/a,Yes,1,NSW
124,Sloan Wagg,Male,Financial Services,Yes,3,VIC
125,Myles Pauncefort,Male,Manufacturing,No,1,NSW
126,Colver Itter,Male,Financial Services,Yes,2,QLD
127,Almeta Kalinsky,Female,Financial Services,No,2,QLD
128,Kath Cunney,Female,Health,Yes,1,NSW
129,Darrelle Antoniewski,Female,Property,No,1,NSW
130,Norman Cliff,Male,Health,Yes,1,NSW
131,Merrili Whitear,Female,Financial Services,No,2,QLD
132,Isidro Cypler,Male,Property,Yes,1,NSW
133,Weidar Silkstone,Male,Financial Services,Yes,2,QLD
134,Raddy Delete,Male,Manufacturing,No,1,NSW
135,Jana Renyard,Female,Retail,No,3,VIC
136,Celesta Willavoys,Female,Manufacturing,Yes,2,QLD
137,Eldridge Fiddeman,Male,Financial Services,Yes,1,NSW
138,Merna McCulloch,Female,Telecommunications,Yes,1,NSW
139,Rosalia Sigart,Female,IT,No,2,QLD
140,Mel Bennet,Male,Manufacturing,Yes,3,VIC
141,Vaughn Artin,Male,Property,No,1,NSW
142,Onofredo Franc,Male,Financial Services,Yes,3,VIC
143,Gar ,Male,Telecommunications,No,2,QLD
144,Morrie Flaxon,Male,Manufacturing,No,1,NSW
145,Townsend Trobe,Male,Financial Services,Yes,1,NSW
146,Bentley Fortesquieu,Male,Health,No,1,NSW
147,Kendall Figg,Male,Argiculture,Yes,1,NSW
148,Jory Barrabeale,Male,IT,No,3,VIC
149,Filippo Ferrara,Male,Financial Services,No,2,QLD
150,Ricoriki Matlock,Male,Manufacturing,No,1,NSW
151,Rea Pattrick,Female,Health,Yes,1,NSW
152,Jaquith Maffey,Female,n/a,Yes,1,NSW
153,Drucy Kausche,Female,Health,Yes,1,NSW
154,Bradly Crosse,Male,Financial Services,No,1,NSW
155,Donnie Brimson,Male,Manufacturing,Yes,1,NSW
156,Stephana Cardew,Female,Financial Services,No,3,VIC
157,Lorilyn Walshe,Female,Entertainment,Yes,3,VIC
158,Faydra Dulieu,Female,n/a,No,1,NSW
159,Orran Bogges,Male,Manufacturing,No,1,NSW
160,Shayla Rimmington,Female,Financial Services,Yes,1,NSW
161,Chad Houtby,Male,Financial Services,No,1,NSW
162,Hamlin Odams,Male,n/a,No,1,NSW
163,Arin Matskevich,Male,Health,No,3,VIC
164,Wake Durning,Male,Health,No,2,QLD
165,Tadd Bloss,Male,n/a,No,1,NSW
166,Port Acuna,Male,IT,No,2,QLD
167,Kessia Helder,Female,Entertainment,Yes,2,QLD
168,Aarika Van Vuuren,Female,Retail,Yes,3,VIC
169,Aldon Roelofs,Male,Argiculture,Yes,1,NSW
170,Elston Oleszczak,Male,Manufacturing,No,3,VIC
171,Nathalie Tideswell,Female,Health,Yes,1,NSW
172,Reggie Broggetti,Female,IT,Yes,3,VIC
173,Alfy Bruhnke,Male,Telecommunications,Yes,1,NSW
174,Jammal Gever,Male,Health,No,1,NSW
175,Halli Davidoff,Female,Manufacturing,No,3,VIC
176,Hilton Carney,Male,Manufacturing,Yes,1,NSW
177,Ebba Hanselmann,Female,Health,No,1,NSW
178,Catie Tosspell,Female,Health,No,1,NSW
179,Templeton Hambrook,Male,Manufacturing,No,1,NSW
180,Angelo Clayal,Male,Property,No,2,QLD
181,Ondrea Pablos,Female,Financial Services,No,3,VIC
182,Matthieu Bertelmot,Male,n/a,No,2,QLD
183,Esteban Sewill,Male,Manufacturing,Yes,1,NSW
184,Trisha Neasham,Female,Argiculture,No,1,NSW
185,Pavla Braunle,Female,Manufacturing,No,1,NSW
186,Lydon Dahlman,Male,Financial Services,Yes,2,QLD
187,Dannie Hissie,Female,Retail,No,1,NSW
188,Nappie Paolo,Male,Manufacturing,Yes,1,NSW
189,Crosby Walcot,Male,Property,Yes,3,VIC
190,Mireielle Jeppe,Female,Financial Services,No,1,NSW
191,Pincas Ather,Male,n/a,No,1,NSW
192,Audry Seine,Female,Property,Yes,3,VIC
193,Umberto Torricella,Male,Financial Services,No,2,QLD
194,Hayley Girardengo,Female,Health,No,2,QLD
195,Christopher Heining,Male,n/a,Yes,3,VIC
196,Goldi Osler,Female,Health,Yes,1,NSW
197,Foss Hardes,Male,Manufacturing,Yes,1,NSW
198,Ursala Ferrai,Female,Financial Services,No,3,VIC
199,Talyah Rylatt,Female,Manufacturing,No,1,NSW
200,Swen Odhams,Male,Manufacturing,No,2,QLD
201,Avis ,Female,n/a,No,1,NSW
202,Vanya Gumb,Female,Entertainment,No,2,QLD
203,Verla Alven,Female,Health,Yes,1,NSW
204,Hube Weald,Male,Property,Yes,3,VIC
205,Salem Huie,Male,Manufacturing,Yes,3,VIC
206,Audie Pillinger,Female,Entertainment,Yes,1,NSW
207,Donovan Conry,Male,Argiculture,Yes,2,QLD
208,Thorny Hackworth,Male,Financial Services,No,2,QLD
209,Rolfe Kellard,Male,Financial Services,Yes,1,NSW
210,Mari Chevolleau,Female,n/a,Yes,3,VIC
211,Adena Whyman,Female,n/a,No,1,NSW
212,Rutter Excell,Male,Property,No,2,QLD
213,Udall Bellard,Male,n/a,Yes,2,QLD
214,Albrecht Thomasson,Male,Property,No,2,QLD
215,Beitris ,Female,Manufacturing,Yes,2,QLD
216,Nanice Ellse,Female,IT,No,1,NSW
217,Lockwood Exroll,Male,Financial Services,Yes,1,NSW
218,Jeramie Cellier,Male,Health,No,1,NSW
219,Debera Foxworthy,Female,Retail,Yes,1,NSW
220,Cinderella Parcall,Female,Financial Services,Yes,3,VIC
221,Jeralee Quartly,Female,Manufacturing,No,1,NSW
222,Stefa Dunnan,Female,Property,Yes,1,NSW
223,Markus Mughal,Male,Health,No,1,NSW
224,Jeniffer Apark,Female,Manufacturing,No,1,NSW
225,Mara Bloore,Female,Manufacturing,No,1,NSW
